image_path,plate_text
..\..\..\..\Users\HP\Downloads\IND-VNP_ Indian Vehicle and Number Plate Image Dataset\Dataset\Raw Dataset\Number_Plates\image_2450.jpg,HR26BP3543
..\..\..\..\Users\HP\Downloads\IND-VNP_ Indian Vehicle and Number Plate Image Dataset\Dataset\Raw Dataset\Number_Plates\image_2759.png,KA03MN9993
..\..\..\..\Users\HP\Downloads\IND-VNP_ Indian Vehicle and Number Plate Image Dataset\Dataset\Raw Dataset\Number_Plates\image_2688.jpg,GA08F7938
..\..\..\..\Users\HP\Downloads\IND-VNP_ Indian Vehicle and Number Plate Image Dataset\Dataset\Raw Dataset\Number_Plates\image_2600.png,MH02CZ544
..\..\..\..\Users\HP\Downloads\IND-VNP_ Indian Vehicle and Number Plate Image Dataset\Dataset\Raw Dataset\Number_Plates\image_1882.png,MH48A6131
..\..\..\..\Users\HP\Downloads\IND-VNP_ Indian Vehicle and Number Plate Image Dataset\Dataset\Raw Dataset\Number_Plates\image_1877.png,MH05AJ9011
..\..\..\..\Users\HP\Downloads\IND-VNP_ Indian Vehicle and Number Plate Image Dataset\Dataset\Raw Dataset\Number_Plates\image_1755.jpg,HR26BY4807
..\..\..\..\Users\HP\Downloads\IND-VNP_ Indian Vehicle and Number Plate Image Dataset\Dataset\Raw Dataset\Number_Plates\image_2360.jpg,DL8CAF5030
..\..\..\..\Users\HP\Downloads\IND-VNP_ Indian Vehicle and Number Plate Image Dataset\Dataset\Raw Dataset\Number_Plates\image_2306.png,MH04DB797
..\..\..\..\Users\HP\Downloads\IND-VNP_ Indian Vehicle and Number Plate Image Dataset\Dataset\Raw Dataset\Number_Plates\image_1884.png,DL6CJ7212
..\..\..\..\Users\HP\Downloads\IND-VNP_ Indian Vehicle and Number Plate Image Dataset\Dataset\Raw Dataset\Number_Plates\image_2678.jpg,KL07DQ0369
..\..\..\..\Users\HP\Downloads\IND-VNP_ Indian Vehicle and Number Plate Image Dataset\Dataset\Raw Dataset\Number_Plates\image_1886.png,MH01AX7656
..\..\..\..\Users\HP\Downloads\IND-VNP_ Indian Vehicle and Number Plate Image Dataset\Dataset\Raw Dataset\Number_Plates\image_2475.jpg,MH12RT1105
..\..\..\..\Users\HP\Downloads\IND-VNP_ Indian Vehicle and Number Plate Image Dataset\Dataset\Raw Dataset\Number_Plates\image_2546.png,AP21AB4688
..\..\..\..\Users\HP\Downloads\IND-VNP_ Indian Vehicle and Number Plate Image Dataset\Dataset\Raw Dataset\Number_Plates\image_1900.png,TN20BT7899
..\..\..\..\Users\HP\Downloads\IND-VNP_ Indian Vehicle and Number Plate Image Dataset\Dataset\Raw Dataset\Number_Plates\image_2613.png,MP43BD1069
..\..\..\..\Users\HP\Downloads\IND-VNP_ Indian Vehicle and Number Plate Image Dataset\Dataset\Raw Dataset\Number_Plates\image_1896.png,MH12FY0367
..\..\..\..\Users\HP\Downloads\IND-VNP_ Indian Vehicle and Number Plate Image Dataset\Dataset\Raw Dataset\Number_Plates\image_2500.jpg,MH01DE9218
..\..\..\..\Users\HP\Downloads\IND-VNP_ Indian Vehicle and Number Plate Image Dataset\Dataset\Raw Dataset\Number_Plates\image_2339.jpg,HP01H5011
..\..\..\..\Users\HP\Downloads\IND-VNP_ Indian Vehicle and Number Plate Image Dataset\Dataset\Raw Dataset\Number_Plates\image_1919.png,MH43AF8411
..\..\..\..\Users\HP\Downloads\IND-VNP_ Indian Vehicle and Number Plate Image Dataset\Dataset\Raw Dataset\Number_Plates\image_2643.png,DL6CJ8775
..\..\..\..\Users\HP\Downloads\IND-VNP_ Indian Vehicle and Number Plate Image Dataset\Dataset\Raw Dataset\Number_Plates\image_2433.jpg,KA24EA3843
..\..\..\..\Users\HP\Downloads\IND-VNP_ Indian Vehicle and Number Plate Image Dataset\Dataset\Raw Dataset\Number_Plates\image_1859.png,MH12ET7866
..\..\..\..\Users\HP\Downloads\IND-VNP_ Indian Vehicle and Number Plate Image Dataset\Dataset\Raw Dataset\Number_Plates\image_2258.png,MH43V6517
..\..\..\..\Users\HP\Downloads\IND-VNP_ Indian Vehicle and Number Plate Image Dataset\Dataset\Raw Dataset\Number_Plates\image_2349.png,MH14DA8841
..\..\..\..\Users\HP\Downloads\IND-VNP_ Indian Vehicle and Number Plate Image Dataset\Dataset\Raw Dataset\Number_Plates\image_1916.png,TN20CX2288
..\..\..\..\Users\HP\Downloads\IND-VNP_ Indian Vehicle and Number Plate Image Dataset\Dataset\Raw Dataset\Number_Plates\image_2595.png,MH20BY8998
..\..\..\..\Users\HP\Downloads\IND-VNP_ Indian Vehicle and Number Plate Image Dataset\Dataset\Raw Dataset\Number_Plates\image_2590.png,UP16T6435
..\..\..\..\Users\HP\Downloads\IND-VNP_ Indian Vehicle and Number Plate Image Dataset\Dataset\Raw Dataset\Number_Plates\image_2718.jpg,GJ05JD9759
..\..\..\..\Users\HP\Downloads\IND-VNP_ Indian Vehicle and Number Plate Image Dataset\Dataset\Raw Dataset\Number_Plates\image_2684.jpg,WB50G7976
..\..\..\..\Users\HP\Downloads\IND-VNP_ Indian Vehicle and Number Plate Image Dataset\Dataset\Raw Dataset\Number_Plates\image_1987.png,TN10AJ1863
..\..\..\..\Users\HP\Downloads\IND-VNP_ Indian Vehicle and Number Plate Image Dataset\Dataset\Raw Dataset\Number_Plates\image_2640.png,MH12GF788
..\..\..\..\Users\HP\Downloads\IND-VNP_ Indian Vehicle and Number Plate Image Dataset\Dataset\Raw Dataset\Number_Plates\image_1805.jpg,MH42H8088
..\..\..\..\Users\HP\Downloads\IND-VNP_ Indian Vehicle and Number Plate Image Dataset\Dataset\Raw Dataset\Number_Plates\image_2666.jpg,KA51MK4666
..\..\..\..\Users\HP\Downloads\IND-VNP_ Indian Vehicle and Number Plate Image Dataset\Dataset\Raw Dataset\Number_Plates\image_2697.jpg,MH04JL8820
..\..\..\..\Users\HP\Downloads\IND-VNP_ Indian Vehicle and Number Plate Image Dataset\Dataset\Raw Dataset\Number_Plates\image_2422.jpg,UP33F2859
..\..\..\..\Users\HP\Downloads\IND-VNP_ Indian Vehicle and Number Plate Image Dataset\Dataset\Raw Dataset\Number_Plates\image_2740.jpg,TN12AF9459
..\..\..\..\Users\HP\Downloads\IND-VNP_ Indian Vehicle and Number Plate Image Dataset\Dataset\Raw Dataset\Number_Plates\image_1775.jpg,MH43Y4129
..\..\..\..\Users\HP\Downloads\IND-VNP_ Indian Vehicle and Number Plate Image Dataset\Dataset\Raw Dataset\Number_Plates\image_1768.jpg,DL3CAL4640
..\..\..\..\Users\HP\Downloads\IND-VNP_ Indian Vehicle and Number Plate Image Dataset\Dataset\Raw Dataset\Number_Plates\image_2720.jpg,KL55E7937
..\..\..\..\Users\HP\Downloads\IND-VNP_ Indian Vehicle and Number Plate Image Dataset\Dataset\Raw Dataset\Number_Plates\image_2491.jpg,BR07AB1993
..\..\..\..\Users\HP\Downloads\IND-VNP_ Indian Vehicle and Number Plate Image Dataset\Dataset\Raw Dataset\Number_Plates\image_2313.png,MH43AJ7351
..\..\..\..\Users\HP\Downloads\IND-VNP_ Indian Vehicle and Number Plate Image Dataset\Dataset\Raw Dataset\Number_Plates\image_2539.png,MH04FF0892
..\..\..\..\Users\HP\Downloads\IND-VNP_ Indian Vehicle and Number Plate Image Dataset\Dataset\Raw Dataset\Number_Plates\image_2531.png,DL8CNA5717
..\..\..\..\Users\HP\Downloads\IND-VNP_ Indian Vehicle and Number Plate Image Dataset\Dataset\Raw Dataset\Number_Plates\image_2272.png,MH12DS9002
..\..\..\..\Users\HP\Downloads\IND-VNP_ Indian Vehicle and Number Plate Image Dataset\Dataset\Raw Dataset\Number_Plates\image_2543.png,DL3CBM6060
..\..\..\..\Users\HP\Downloads\IND-VNP_ Indian Vehicle and Number Plate Image Dataset\Dataset\Raw Dataset\Number_Plates\image_1993.png,MH05BS4199
..\..\..\..\Users\HP\Downloads\IND-VNP_ Indian Vehicle and Number Plate Image Dataset\Dataset\Raw Dataset\Number_Plates\image_2667.jpg,21BH0001AA
..\..\..\..\Users\HP\Downloads\IND-VNP_ Indian Vehicle and Number Plate Image Dataset\Dataset\Raw Dataset\Number_Plates\image_2566.png,WB20Z1406
..\..\..\..\Users\HP\Downloads\IND-VNP_ Indian Vehicle and Number Plate Image Dataset\Dataset\Raw Dataset\Number_Plates\image_2362.jpg,UP53DV9006
..\..\..\..\Users\HP\Downloads\IND-VNP_ Indian Vehicle and Number Plate Image Dataset\Dataset\Raw Dataset\Number_Plates\image_2550.png,TN22CR0097
..\..\..\..\Users\HP\Downloads\IND-VNP_ Indian Vehicle and Number Plate Image Dataset\Dataset\Raw Dataset\Number_Plates\image_2441.jpg,TN99F2378
..\..\..\..\Users\HP\Downloads\IND-VNP_ Indian Vehicle and Number Plate Image Dataset\Dataset\Raw Dataset\Number_Plates\image_2567.png,DL4CAL1477
..\..\..\..\Users\HP\Downloads\IND-VNP_ Indian Vehicle and Number Plate Image Dataset\Dataset\Raw Dataset\Number_Plates\image_2573.png,MH42H7341
..\..\..\..\Users\HP\Downloads\IND-VNP_ Indian Vehicle and Number Plate Image Dataset\Dataset\Raw Dataset\Number_Plates\image_2393.jpg,TN63DB5481
..\..\..\..\Users\HP\Downloads\IND-VNP_ Indian Vehicle and Number Plate Image Dataset\Dataset\Raw Dataset\Number_Plates\image_2570.png,AP31BT9732
..\..\..\..\Users\HP\Downloads\IND-VNP_ Indian Vehicle and Number Plate Image Dataset\Dataset\Raw Dataset\Number_Plates\image_2659.jpg,JH01AG7904
..\..\..\..\Users\HP\Downloads\IND-VNP_ Indian Vehicle and Number Plate Image Dataset\Dataset\Raw Dataset\Number_Plates\image_1838.png,MH06BC4786
..\..\..\..\Users\HP\Downloads\IND-VNP_ Indian Vehicle and Number Plate Image Dataset\Dataset\Raw Dataset\Number_Plates\image_1817.jpg,TN01AJ8334
..\..\..\..\Users\HP\Downloads\IND-VNP_ Indian Vehicle and Number Plate Image Dataset\Dataset\Raw Dataset\Number_Plates\image_2324.png,PB25E4694
..\..\..\..\Users\HP\Downloads\IND-VNP_ Indian Vehicle and Number Plate Image Dataset\Dataset\Raw Dataset\Number_Plates\image_1905.png,MH02BM1873
..\..\..\..\Users\HP\Downloads\IND-VNP_ Indian Vehicle and Number Plate Image Dataset\Dataset\Raw Dataset\Number_Plates\image_1759.jpg,GJ1KC6890
..\..\..\..\Users\HP\Downloads\IND-VNP_ Indian Vehicle and Number Plate Image Dataset\Dataset\Raw Dataset\Number_Plates\image_2507.jpg,MH03BS0648
..\..\..\..\Users\HP\Downloads\IND-VNP_ Indian Vehicle and Number Plate Image Dataset\Dataset\Raw Dataset\Number_Plates\image_2457.jpg,JH05DB6549
..\..\..\..\Users\HP\Downloads\IND-VNP_ Indian Vehicle and Number Plate Image Dataset\Dataset\Raw Dataset\Number_Plates\image_1924.png,TN49AK9109
..\..\..\..\Users\HP\Downloads\IND-VNP_ Indian Vehicle and Number Plate Image Dataset\Dataset\Raw Dataset\Number_Plates\image_2304.png,HR29U2474
..\..\..\..\Users\HP\Downloads\IND-VNP_ Indian Vehicle and Number Plate Image Dataset\Dataset\Raw Dataset\Number_Plates\image_2427.jpg,KL45H8055
..\..\..\..\Users\HP\Downloads\IND-VNP_ Indian Vehicle and Number Plate Image Dataset\Dataset\Raw Dataset\Number_Plates\image_2569.png,AP28DE5128
..\..\..\..\Users\HP\Downloads\IND-VNP_ Indian Vehicle and Number Plate Image Dataset\Dataset\Raw Dataset\Number_Plates\image_2524.jpg,MH20EE7598
..\..\..\..\Users\HP\Downloads\IND-VNP_ Indian Vehicle and Number Plate Image Dataset\Dataset\Raw Dataset\Number_Plates\image_1745.jpg,UP16AN0179
..\..\..\..\Users\HP\Downloads\IND-VNP_ Indian Vehicle and Number Plate Image Dataset\Dataset\Raw Dataset\Number_Plates\image_2309.png,MH04DJ2072
..\..\..\..\Users\HP\Downloads\IND-VNP_ Indian Vehicle and Number Plate Image Dataset\Dataset\Raw Dataset\Number_Plates\image_2581.png,GJ18AB2587
..\..\..\..\Users\HP\Downloads\IND-VNP_ Indian Vehicle and Number Plate Image Dataset\Dataset\Raw Dataset\Number_Plates\image_2355.jpg,MH14EC7350
..\..\..\..\Users\HP\Downloads\IND-VNP_ Indian Vehicle and Number Plate Image Dataset\Dataset\Raw Dataset\Number_Plates\image_2743.jpg,KA41EM7969
..\..\..\..\Users\HP\Downloads\IND-VNP_ Indian Vehicle and Number Plate Image Dataset\Dataset\Raw Dataset\Number_Plates\image_2665.jpg,WB74C5602
..\..\..\..\Users\HP\Downloads\IND-VNP_ Indian Vehicle and Number Plate Image Dataset\Dataset\Raw Dataset\Number_Plates\image_2282.png,MH03AW6507
..\..\..\..\Users\HP\Downloads\IND-VNP_ Indian Vehicle and Number Plate Image Dataset\Dataset\Raw Dataset\Number_Plates\image_2489.jpg,UP43AF5078
..\..\..\..\Users\HP\Downloads\IND-VNP_ Indian Vehicle and Number Plate Image Dataset\Dataset\Raw Dataset\Number_Plates\image_2558.png,WB20Z2787
..\..\..\..\Users\HP\Downloads\IND-VNP_ Indian Vehicle and Number Plate Image Dataset\Dataset\Raw Dataset\Number_Plates\image_2568.png,DL4CAL1477
..\..\..\..\Users\HP\Downloads\IND-VNP_ Indian Vehicle and Number Plate Image Dataset\Dataset\Raw Dataset\Number_Plates\image_2320.png,WB02Z4408
..\..\..\..\Users\HP\Downloads\IND-VNP_ Indian Vehicle and Number Plate Image Dataset\Dataset\Raw Dataset\Number_Plates\image_2582.png,DL4CAE0321
..\..\..\..\Users\HP\Downloads\IND-VNP_ Indian Vehicle and Number Plate Image Dataset\Dataset\Raw Dataset\Number_Plates\image_1914.png,MH02BM1873
..\..\..\..\Users\HP\Downloads\IND-VNP_ Indian Vehicle and Number Plate Image Dataset\Dataset\Raw Dataset\Number_Plates\image_1959.png,KL07BU7236
..\..\..\..\Users\HP\Downloads\IND-VNP_ Indian Vehicle and Number Plate Image Dataset\Dataset\Raw Dataset\Number_Plates\image_2551.png,DL4CAL0801
..\..\..\..\Users\HP\Downloads\IND-VNP_ Indian Vehicle and Number Plate Image Dataset\Dataset\Raw Dataset\Number_Plates\image_1911.png,MH12FK3242
..\..\..\..\Users\HP\Downloads\IND-VNP_ Indian Vehicle and Number Plate Image Dataset\Dataset\Raw Dataset\Number_Plates\image_2391.jpg,KA19W5802
..\..\..\..\Users\HP\Downloads\IND-VNP_ Indian Vehicle and Number Plate Image Dataset\Dataset\Raw Dataset\Number_Plates\image_1868.png,DL1CP6078
..\..\..\..\Users\HP\Downloads\IND-VNP_ Indian Vehicle and Number Plate Image Dataset\Dataset\Raw Dataset\Number_Plates\image_2555.png,AP21Q6978
..\..\..\..\Users\HP\Downloads\IND-VNP_ Indian Vehicle and Number Plate Image Dataset\Dataset\Raw Dataset\Number_Plates\image_1921.png,TN22BK0281
..\..\..\..\Users\HP\Downloads\IND-VNP_ Indian Vehicle and Number Plate Image Dataset\Dataset\Raw Dataset\Number_Plates\image_2392.jpg,TN76AB7224
..\..\..\..\Users\HP\Downloads\IND-VNP_ Indian Vehicle and Number Plate Image Dataset\Dataset\Raw Dataset\Number_Plates\image_2253.png,MH03AR3711
..\..\..\..\Users\HP\Downloads\IND-VNP_ Indian Vehicle and Number Plate Image Dataset\Dataset\Raw Dataset\Number_Plates\image_2497.jpg,MH03AM3025
..\..\..\..\Users\HP\Downloads\IND-VNP_ Indian Vehicle and Number Plate Image Dataset\Dataset\Raw Dataset\Number_Plates\image_1784.jpg,TN07QZ6242
..\..\..\..\Users\HP\Downloads\IND-VNP_ Indian Vehicle and Number Plate Image Dataset\Dataset\Raw Dataset\Number_Plates\image_2649.png,MH01AW5111
..\..\..\..\Users\HP\Downloads\IND-VNP_ Indian Vehicle and Number Plate Image Dataset\Dataset\Raw Dataset\Number_Plates\image_2452.jpg,JH05DR7604
..\..\..\..\Users\HP\Downloads\IND-VNP_ Indian Vehicle and Number Plate Image Dataset\Dataset\Raw Dataset\Number_Plates\image_2633.png,MH43AJ5262
..\..\..\..\Users\HP\Downloads\IND-VNP_ Indian Vehicle and Number Plate Image Dataset\Dataset\Raw Dataset\Number_Plates\image_1936.png,TN02AQ8660
..\..\..\..\Users\HP\Downloads\IND-VNP_ Indian Vehicle and Number Plate Image Dataset\Dataset\Raw Dataset\Number_Plates\image_1861.png,GJ1KR2485
..\..\..\..\Users\HP\Downloads\IND-VNP_ Indian Vehicle and Number Plate Image Dataset\Dataset\Raw Dataset\Number_Plates\image_2432.jpg,KL62B350
..\..\..\..\Users\HP\Downloads\IND-VNP_ Indian Vehicle and Number Plate Image Dataset\Dataset\Raw Dataset\Number_Plates\image_1750.jpg,MH43A4685
..\..\..\..\Users\HP\Downloads\IND-VNP_ Indian Vehicle and Number Plate Image Dataset\Dataset\Raw Dataset\Number_Plates\image_1964.png,MH20BC4902
..\..\..\..\Users\HP\Downloads\IND-VNP_ Indian Vehicle and Number Plate Image Dataset\Dataset\Raw Dataset\Number_Plates\image_1806.jpg,MH12ET6622
..\..\..\..\Users\HP\Downloads\IND-VNP_ Indian Vehicle and Number Plate Image Dataset\Dataset\Raw Dataset\Number_Plates\image_2710.jpg,HR26DQ5551
..\..\..\..\Users\HP\Downloads\IND-VNP_ Indian Vehicle and Number Plate Image Dataset\Dataset\Raw Dataset\Number_Plates\image_2460.jpg,JH05BP6642
..\..\..\..\Users\HP\Downloads\IND-VNP_ Indian Vehicle and Number Plate Image Dataset\Dataset\Raw Dataset\Number_Plates\image_2451.jpg,RJ14CA4330
..\..\..\..\Users\HP\Downloads\IND-VNP_ Indian Vehicle and Number Plate Image Dataset\Dataset\Raw Dataset\Number_Plates\image_2316.png,MH02BG4844
..\..\..\..\Users\HP\Downloads\IND-VNP_ Indian Vehicle and Number Plate Image Dataset\Dataset\Raw Dataset\Number_Plates\image_2269.png,TN01AJ8805
..\..\..\..\Users\HP\Downloads\IND-VNP_ Indian Vehicle and Number Plate Image Dataset\Dataset\Raw Dataset\Number_Plates\image_2270.png,MH124057
..\..\..\..\Users\HP\Downloads\IND-VNP_ Indian Vehicle and Number Plate Image Dataset\Dataset\Raw Dataset\Number_Plates\image_2634.png,GJ1KD6571
..\..\..\..\Users\HP\Downloads\IND-VNP_ Indian Vehicle and Number Plate Image Dataset\Dataset\Raw Dataset\Number_Plates\image_1798.jpg,MH14BK1918
..\..\..\..\Users\HP\Downloads\IND-VNP_ Indian Vehicle and Number Plate Image Dataset\Dataset\Raw Dataset\Number_Plates\image_2315.png,MH024844
..\..\..\..\Users\HP\Downloads\IND-VNP_ Indian Vehicle and Number Plate Image Dataset\Dataset\Raw Dataset\Number_Plates\image_2760.jpg,KL64H7345
..\..\..\..\Users\HP\Downloads\IND-VNP_ Indian Vehicle and Number Plate Image Dataset\Dataset\Raw Dataset\Number_Plates\image_1885.png,DL6C7212
..\..\..\..\Users\HP\Downloads\IND-VNP_ Indian Vehicle and Number Plate Image Dataset\Dataset\Raw Dataset\Number_Plates\image_2327.png,WB06H1069
..\..\..\..\Users\HP\Downloads\IND-VNP_ Indian Vehicle and Number Plate Image Dataset\Dataset\Raw Dataset\Number_Plates\image_1937.png,TN02AQ8660
..\..\..\..\Users\HP\Downloads\IND-VNP_ Indian Vehicle and Number Plate Image Dataset\Dataset\Raw Dataset\Number_Plates\image_2366.jpg,MP03CP9057
..\..\..\..\Users\HP\Downloads\IND-VNP_ Indian Vehicle and Number Plate Image Dataset\Dataset\Raw Dataset\Number_Plates\image_2455.jpg,JH05DB9349
..\..\..\..\Users\HP\Downloads\IND-VNP_ Indian Vehicle and Number Plate Image Dataset\Dataset\Raw Dataset\Number_Plates\image_2470.jpg,JH05CX2121
..\..\..\..\Users\HP\Downloads\IND-VNP_ Indian Vehicle and Number Plate Image Dataset\Dataset\Raw Dataset\Number_Plates\image_2494.jpg,MH03CS6266
